what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.html.core,1.1.202.v200808281704,org.eclipse.wst.html.core,1231549400708
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1231549401404
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549401422
started,bundle,org.eclipse.wst.css.core,1.1.201.v200808072008,org.eclipse.wst.css.core,1231549402423
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549407752
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.properties,1231549409278
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549409312
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549416512
started,bundle,org.eclipse.jdt.debug,3.4.0.v20080604,org.eclipse.jdt.debug,1231549423126
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1231549423204
started,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1231549423393
started,bundle,org.eclipse.pde.core,3.4.0.v20080903-1700,org.eclipse.pde.core,1231549423434
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.rename.element,1231549424589
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549424625
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549434630
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.properties,1231549445035
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549445117
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1231549448693
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1231549473100
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549474583
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549475146
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549475423
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549494710
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549494932
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549494990
